id_venda,data,produto,categoria,vendedor,regiao,quantidade,preco_unitario,desconto
320,2026-06-30,SSD 1TB,Armazenamento,Mariana,Sudeste,6.0,524.52,0.15
321,2026-04-10,Cadeira Gamer,Móveis,Beatriz,Sudeste,2.0,1197.31,0.0
322,2026-04-08,Teclado,Periféricos,Mariana,Centro-Oeste,4.0,157.36,0.1
323,2026-05-30,Mouse,Periféricos,Ana,Nordeste,1.0,83.41,0.0
324,2026-05-03,Mouse,Periféricos,Ana,Centro-Oeste,3.0,85.05,0.15
325,2026-03-15,Cadeira Gamer,Móveis,Rafael,Nordeste,3.0,1132.65,0.0
326,2026-06-28,Mouse,Periféricos,Carlos,Sudeste,6.0,86.85,0.05
327,2026-02-17,SSD 1TB,Armazenamento,Mariana,Nordeste,4.0,517.16,0.1
328,2026-01-21,Headset,Áudio,Beatriz,Sudeste,8.0,283.34,0.0
329,2026-06-01,Teclado,Periféricos,Joao,Sudeste,2.0,158.81,0.0
330,2026-03-24,Notebook,Informática,Beatriz,Centro-Oeste,4.0,3553.63,0.0
331,2026-04-13,Webcam,Periféricos,Ana,Sul,2.0,207.13,0.05
332,2026-04-29,Webcam,Periféricos,Beatriz,Sudeste,8.0,208.68,0.0
333,2026-03-27,Headset,Áudio,Carlos,Sul,6.0,281.45,0.15
334,2026-02-24,Webcam,Periféricos,Ana,Sudeste,7.0,223.33,1.25
335,2026-05-20,Cadeira Gamer,Móveis,Carlos,Sul,7.0,1123.43,0.15
336,2026-02-25,Cadeira Gamer,Móveis,Rafael,Sul,5.0,1111.68,0.0
337,2026-01-28,Headset,Áudio,Carlos,Nordeste,7.0,266.59,0.05
338,2026-01-20,Cadeira Gamer,Móveis,Mariana,Nordeste,5.0,1189.94,0.05
339,2026-04-04,Mouse,Periféricos,Beatriz,Sul,8.0,85.99,0.0
340,2026-04-10,Webcam,Periféricos,Mariana,Sul,5.0,226.56,0.05
341,2026-01-02,Headset,Áudio,Mariana,Sudeste,2.0,278.55,0.0
342,2026-03-27,Mouse,Periféricos,Carlos,Sudeste,1.0,85.37,0.15
343,2026-06-20,Notebook,Informática,Beatriz,Centro-Oeste,3.0,3297.82,0.15
344,2026-01-29,Mouse,Periféricos,Rafael,Sudeste,4.0,82.34,0.0
345,2026-03-17,Mouse,Periféricos,Mariana,Sul,8.0,80.14,0.0
346,2026-03-06,Notebook,Informática,Rafael,Nordeste,5.0,3368.23,0.0
347,2026-06-13,Notebook,Informática,Mariana,Sudeste,4.0,3523.48,0.0
348,2026-04-23,Monitor,Informática,Carlos,Sul,3.0,1245.86,0.0
349,2026-02-26,Teclado,Periféricos,Mariana,Nordeste,6.0,168.11,0.0
350,2026-05-29,Teclado,Periféricos,Beatriz,Centro-Oeste,1.0,165.7,0.15
351,2026-01-05,SSD 1TB,Armazenamento,Rafael,Sul,5.0,495.41,0.1
352,2026-05-19,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,8.0,1134.39,0.0
353,2026-03-15,Notebook,Informática,Rafael,Sul,8.0,3443.11,0.0
354,2026-01-18,Monitor,Informática,Carlos,Nordeste,4.0,1209.42,0.0
355,2026-05-20,Monitor,Informática,Beatriz,Sudeste,5.0,1289.48,0.15
356,2026-05-20,Notebook,Informática,Carlos,Sudeste,1.0,3592.37,0.0
357,2026-04-11,Monitor,Informática,Joao,Nordeste,1.0,1311.28,0.0
358,2026-01-07,Webcam,Periféricos,Carlos,Nordeste,4.0,217.48,0.0
359,2026-04-09,Monitor,Informática,Ana,Centro-Oeste,7.0,1285.42,0.15
360,2026-06-19,Monitor,Informática,Rafael,Sudeste,6.0,1322.57,0.0
361,2026-06-03,Teclado,Periféricos,Beatriz,Sul,3.0,163.42,0.0
362,2026-03-13,Cadeira Gamer,Móveis,Rafael,Sul,7.0,1128.66,0.1
363,2026-06-11,Cadeira Gamer,Móveis,Ana,Centro-Oeste,2.0,1122.63,0.1
364,2026-06-11,Notebook,Informática,Joao,Sudeste,6.0,3365.66,0.0
365,2026-01-25,Mouse,Periféricos,Ana,Nordeste,7.0,80.21,0.05
366,2026-06-27,Cadeira Gamer,Móveis,Beatriz,Sul,7.0,1105.24,0.0
367,2026-06-07,Cadeira Gamer,Móveis,Rafael,Sul,5.0,1181.25,0.1
368,2026-05-01,Teclado,Periféricos,Beatriz,Sul,3.0,164.38,0.0
369,2026-01-06,Notebook,Informática,Joao,Sul,7.0,3661.64,0.1
370,2026-01-10,Headset,Áudio,Mariana,Sudeste,5.0,277.65,0.0
371,2026-04-20,Monitor,Informática,Beatriz,Centro-Oeste,4.0,1306.51,0.05
372,2026-05-09,Monitor,Informática,Mariana,Sul,1.0,1189.3,0.05
373,2026-01-01,Teclado,Periféricos,Ana,Nordeste,1.0,167.76,0.0
374,2026-06-10,Mouse,Periféricos,Carlos,Sudeste,3.0,89.4,0.0
375,2026-04-06,Notebook,Informática,Ana,Sul,1.0,3359.46,0.0
376,2026-03-10,Mouse,Periféricos,Mariana,Nordeste,6.0,86.74,0.0
377,2026-03-20,Mouse,Periféricos,Ana,Centro-Oeste,5.0,89.41,0.15
378,2026-06-20,SSD 1TB,Armazenamento,Ana,Centro-Oeste,3.0,529.08,0.15
379,2026-01-29,Teclado,Periféricos,Joao,Nordeste,7.0,158.33,0.0
380,2026-06-22,Mouse,Periféricos,Rafael,Centro-Oeste,5.0,86.11,0.15
381,2026-06-16,Headset,Áudio,Beatriz,Sudeste,8.0,269.47,0.0
382,2026-04-11,SSD 1TB,Armazenamento,Beatriz,Sudeste,8.0,544.66,0.0
383,2026-04-08,Monitor,Informática,Carlos,Centro-Oeste,5.0,1239.93,0.0
384,2026-01-23,Notebook,Informática,Rafael,Sudeste,3.0,3345.11,0.0
385,2026-04-05,SSD 1TB,Armazenamento,Joao,Centro-Oeste,5.0,543.55,0.0
386,2026-03-24,Notebook,Informática,Rafael,Nordeste,2.0,3708.7,0.0
387,2026-03-21,Mouse,Periféricos,Ana,Nordeste,5.0,89.59,0.05
388,2026-02-20,Cadeira Gamer,Móveis,Joao,Centro-Oeste,4.0,1209.73,0.15
389,2026-01-31,Headset,Áudio,Mariana,Sul,5.0,291.08,0.0
390,2026-04-01,Teclado,Periféricos,Rafael,Sudeste,8.0,155.01,0.0
391,2026-03-28,SSD 1TB,Armazenamento,Ana,Sudeste,3.0,550.18,0.0
392,2026-05-28,Monitor,Informática,Mariana,Nordeste,6.0,1247.55,0.05
393,2026-03-30,Notebook,Informática,Rafael,Centro-Oeste,5.0,3433.58,0.15
394,2026-03-12,Mouse,Periféricos,Ana,Nordeste,7.0,82.0,0.0
395,2026-06-20,Notebook,Informática,Rafael,Centro-Oeste,2.0,3573.7,0.15
396,2026-04-10,Webcam,Periféricos,Mariana,Centro-Oeste,7.0,232.16,0.1
397,2026-05-04,SSD 1TB,Armazenamento,Ana,Nordeste,8.0,545.34,0.15
398,2026-05-08,Headset,Áudio,Ana,Centro-Oeste,8.0,264.86,0.05
399,2026-03-14,Headset,Áudio,Beatriz,Sudeste,6.0,273.27,0.0
400,2026-05-14,Webcam,Periféricos,Beatriz,Centro-Oeste,3.0,219.12,0.15
401,2026-04-05,Notebook,Informática,Rafael,Centro-Oeste,6.0,3377.13,0.1
402,2026-03-03,Notebook,Informática,Beatriz,Sudeste,4.0,3603.1,0.0
403,2026-01-28,SSD 1TB,Armazenamento,Rafael,Sul,3.0,500.37,0.0
404,2026-03-24,SSD 1TB,Armazenamento,Beatriz,Nordeste,8.0,535.27,0.0
405,2026-06-08,SSD 1TB,Armazenamento,Ana,Sul,5.0,533.63,0.0
406,2026-01-18,Notebook,Informática,Ana,Sul,8.0,3456.97,0.0
407,2026-06-06,Headset,Áudio,Rafael,Sudeste,3.0,279.52,0.0
408,2026-06-26,Monitor,Informática,Carlos,Sul,6.0,1257.07,0.15
409,2026-01-13,Mouse,Periféricos,Joao,Sudeste,3.0,84.49,0.05
410,2026-04-13,Cadeira Gamer,Móveis,Joao,Nordeste,6.0,1191.42,0.0
411,2026-03-30,Notebook,Informática,Carlos,Sul,1.0,3544.25,0.0
412,2026-01-23,Headset,Áudio,  Ana  ,Sul,3.0,286.58,0.1
413,2026-06-24,Monitor,Informática,Mariana,Sul,7.0,1317.0,0.1
414,2026-02-05,Mouse,Periféricos,Carlos,Nordeste,1.0,89.2,0.1
415,2026-03-15,Notebook,Informática,Carlos,Sudeste,6.0,3493.44,0.05
416,2026-01-10,Monitor,Informática,Joao,Nordeste,2.0,1311.1,0.15
417,2026-05-22,Headset,Áudio,Joao,Centro-Oeste,6.0,280.8,0.15
418,2026-01-13,Headset,Áudio,Mariana,Sudeste,2.0,263.35,0.0
419,2026-01-28,Teclado,Periféricos,Joao,Sudeste,7.0,151.68,0.0
420,2026-04-01,Webcam,Periféricos,Beatriz,Sul,1.0,217.64,0.0
421,2026-02-26,Notebook,Informática,Beatriz,Sudeste,6.0,3705.2,0.0
422,2026-01-23,Cadeira Gamer,Móveis,Beatriz,Sudeste,7.0,1204.88,0.0
423,2026-04-10,Monitor,Informática,Mariana,Sul,5.0,1215.42,0.0
424,2026-04-30,Webcam,Periféricos,Joao,Centro-Oeste,4.0,213.49,0.1
425,2026-01-23,SSD 1TB,Armazenamento,Beatriz,Nordeste,6.0,505.4,0.0
426,2026-02-22,Headset,Áudio,Beatriz,Sul,8.0,281.38,0.15
427,2026-06-09,SSD 1TB,Armazenamento,Ana,Centro-Oeste,8.0,537.68,0.1
428,2026-06-23,Notebook,Informática,Ana,Centro-Oeste,2.0,3443.46,0.0
429,2026-05-01,Headset,Áudio,Carlos,Nordeste,1.0,293.28,0.0
430,2026-01-15,Teclado,Periféricos,Mariana,Sul,1.0,154.69,0.05
431,2026-01-23,Webcam,Periféricos,Carlos,Sul,8.0,221.33,0.05
432,2026-01-28,Cadeira Gamer,Móveis,Mariana,Sudeste,1.0,1134.61,0.0
433,2026-04-14,Monitor,Informática,Mariana,Nordeste,5.0,1299.5,0.0
434,2026-01-26,Monitor,Informática,Beatriz,Sul,3.0,1239.05,0.0
435,2026-01-02,SSD 1TB,Armazenamento,Beatriz,Centro-Oeste,2.0,493.49,0.05
436,2026-04-23,Teclado,Periféricos,Beatriz,Nordeste,2.0,154.76,0.15
437,2026-04-28,Teclado,Periféricos,Ana,Sul,6.0,159.23,0.1
438,2026-04-30,Mouse,Periféricos,Mariana,Nordeste,1.0,84.42,0.0
439,2026-02-21,Monitor,Informática,Carlos,Centro-Oeste,2.0,1181.31,0.15
440,2026-02-19,Monitor,Informática,Carlos,Sul,5.0,1221.67,0.0
441,2026-04-23,SSD 1TB,Armazenamento,Rafael,Centro-Oeste,2.0,523.78,0.0
442,2026-05-08,Teclado,Periféricos,Mariana,Nordeste,1.0,160.81,0.0
443,2026-02-06,Mouse,Periféricos,Ana,Centro-Oeste,3.0,80.89,0.0
444,2026-05-01,Notebook,Informática,Mariana,Sudeste,3.0,3583.41,0.05
445,2026-01-06,Notebook,Informática,Ana,Sul,4.0,3538.46,0.0
446,2026-01-08,Webcam,Periféricos,Rafael,Sul,5.0,220.23,0.05
447,2026-05-14,Cadeira Gamer,Móveis,Ana,Nordeste,7.0,1101.69,0.0
448,2026-06-12,Mouse,Periféricos,Joao,Sul,4.0,81.0,0.1
449,2026-01-27,Headset,Áudio,Rafael,Sudeste,5.0,294.33,0.1
450,2026-01-29,Teclado,Periféricos,Joao,Sul,6.0,159.1,0.1
451,2026-01-24,Mouse,Periféricos,Rafael,Sul,6.0,85.31,0.0
452,2026-03-17,Teclado,Periféricos,Carlos,Centro-Oeste,1.0,158.78,0.0
453,2026-05-17,SSD 1TB,Armazenamento,Carlos,Centro-Oeste,7.0,491.85,0.0
454,2026-02-19,Headset,Áudio,Mariana,Sudeste,1.0,284.77,0.05
455,2026-01-23,Notebook,Informática,Joao,Nordeste,3.0,3422.13,0.1
456,2026-06-19,Webcam,Periféricos,Joao,Centro-Oeste,6.0,232.92,0.0
457,2026-02-13,Mouse,Periféricos,Carlos,Sul,7.0,84.44,0.1
458,2026-06-11,Webcam,Periféricos,Carlos,Sudeste,1.0,209.8,0.0
459,2026-01-17,Notebook,Informática,Carlos,Sudeste,1.0,3414.64,0.1
460,2026-05-31,Teclado,Periféricos,Carlos,Sul,7.0,159.32,0.1
461,2026-04-26,Teclado,Periféricos,Joao,Centro-Oeste,6.0,150.62,0.15
462,2026-03-11,Mouse,Periféricos,Rafael,Sudeste,6.0,80.35,0.0
463,2026-01-03,Headset,Áudio,Carlos,Nordeste,8.0,291.57,0.15
464,2026-06-20,SSD 1TB,Armazenamento,Beatriz,Nordeste,8.0,502.98,0.0
465,2026-06-03,Teclado,Periféricos,Rafael,Sul,4.0,154.37,0.1
466,2026-06-21,Monitor,Informática,Joao,Sul,2.0,1194.68,0.0
467,2026-02-13,SSD 1TB,Armazenamento,Beatriz,Centro-Oeste,1.0,517.87,0.0
468,2026-02-22,Headset,Áudio,Rafael,Sudeste,7.0,264.77,0.0
469,2026-01-29,Mouse,Periféricos,Beatriz,Sudeste,4.0,88.33,0.0
470,2026-04-26,Teclado,Periféricos,Carlos,Centro-Oeste,7.0,161.13,0.0
471,2026-04-05,Webcam,Periféricos,Joao,Nordeste,1.0,219.1,0.05
472,2026-03-04,Webcam,Periféricos,Joao,Sul,4.0,229.44,0.0
473,2026-06-28,Teclado,Periféricos,Carlos,Sudeste,5.0,152.06,0.0
474,2026-02-17,Monitor,Informática,Joao,Centro-Oeste,5.0,1271.16,0.15
475,2026-04-16,Teclado,Periféricos,Beatriz,Sul,4.0,157.3,0.05
476,2026-04-29,Webcam,Periféricos,Joao,Sul,3.0,230.19,0.0
477,2026-03-03,Teclado,Periféricos,Mariana,Centro-Oeste,2.0,157.13,0.1
478,2026-05-05,Mouse,Periféricos,Ana,Sudeste,8.0,87.02,0.0
479,2026-01-08,Webcam,Periféricos,Rafael,Centro-Oeste,4.0,226.43,0.0
480,2026-04-27,Cadeira Gamer,Móveis,Joao,Sul,5.0,1147.43,0.0
481,2026-05-23,Webcam,Periféricos,Beatriz,Centro-Oeste,6.0,213.6,0.1
482,2026-03-23,Cadeira Gamer,Móveis,Rafael,Nordeste,7.0,1128.48,0.15
483,2026-03-29,Teclado,Periféricos,Beatriz,Centro-Oeste,8.0,167.19,0.0
484,2026-06-25,Cadeira Gamer,Móveis,Joao,Sul,4.0,1087.24,0.0
485,2026-03-27,Cadeira Gamer,Móveis,Rafael,Nordeste,4.0,1141.9,0.0
486,2026-02-21,Headset,Áudio,Mariana,Sudeste,4.0,265.62,0.0
487,2026-05-21,SSD 1TB,Armazenamento,Beatriz,Nordeste,1.0,521.12,0.15
488,2026-03-26,SSD 1TB,Armazenamento,Joao,Sul,1.0,542.08,0.0
489,2026-05-15,Teclado,Periféricos,Carlos,Centro-Oeste,5.0,153.71,0.0
490,2026-01-26,Notebook,Informática,Joao,Nordeste,2.0,3417.6,0.05
491,2026-03-25,Cadeira Gamer,Móveis,Carlos,Sudeste,6.0,1121.13,0.0
492,2026-04-11,Cadeira Gamer,Móveis,Mariana,Nordeste,6.0,1201.41,0.0
493,2026-05-29,Notebook,Informática,Carlos,Sul,3.0,3486.75,0.1
494,2026-03-05,Webcam,Periféricos,Mariana,Sul,2.0,223.2,0.0
495,2026-03-16,SSD 1TB,Armazenamento,Joao,Sul,3.0,541.19,0.05
496,2026-02-01,Cadeira Gamer,Móveis,Rafael,Nordeste,1.0,1127.05,0.0
497,2026-06-24,Cadeira Gamer,Móveis,Joao,Centro-Oeste,8.0,1159.38,0.1
498,2026-04-04,Cadeira Gamer,Móveis,Ana,Sul,5.0,1115.12,0.0
499,2026-06-01,Teclado,Periféricos,Rafael,Sul,4.0,168.08,0.0
500,2026-01-23,Cadeira Gamer,Móveis,Mariana,Centro-Oeste,5.0,1099.62,0.0
25,2026-04-27,Monitor,Informática,Rafael,Sul,8.0,1230.77,0.1
250,2026-01-27,Cadeira Gamer,Móveis,Joao,Centro-Oeste,6.0,1115.89,0.0
400,2026-05-14,Webcam,Periféricos,Beatriz,Centro-Oeste,3.0,219.12,0.15
